sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure_binary,weeks,train_status_enc,sex.male,age,upper_body,has_nutrition_control,hedges_g,hyp_class
24.0,12.0,2.0,4.0,240.0,10.0,1.5,100.0,1,10.0,2,1.0,21.0,1,0,0.74,Medium
36.0,12.0,3.0,3.0,360.0,10.0,1.5,100.0,1,10.0,2,1.0,21.0,0,0,0.67,Medium
36.0,36.0,3.0,3.0,360.0,10.0,1.5,100.0,1,10.0,2,1.0,21.0,0,0,0.69,Medium
24.0,12.0,3.0,3.0,240.0,10.0,1.5,100.0,1,10.0,2,1.0,21.0,1,0,0.1,Low
24.0,12.0,3.0,3.0,240.0,10.0,1.5,100.0,1,10.0,2,1.0,21.0,1,0,0.36,Medium
16.0,8.0,1.0,2.0,160.0,10.0,1.0,100.0,1,8.0,2,1.0,28.6,1,0,0.53,Medium
16.0,8.0,1.0,2.0,160.0,10.0,1.0,100.0,1,8.0,2,1.0,28.6,1,0,0.46,Medium
16.0,16.0,1.0,2.0,160.0,10.0,1.0,100.0,1,8.0,2,1.0,28.6,0,0,0.97,High
16.0,16.0,1.0,2.0,160.0,10.0,1.0,100.0,1,8.0,2,1.0,28.6,0,0,0.97,High
16.0,8.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,2,1.0,25.5,1,0,0.49,Medium
16.0,8.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,2,1.0,25.5,1,0,0.36,Medium
16.0,16.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,2,1.0,25.5,0,0,0.9,High
16.0,16.0,2.0,4.0,160.0,10.0,1.0,100.0,1,8.0,2,1.0,25.5,0,0,1.28,High
15.0,6.0,1.0,3.0,150.0,10.0,1.5,100.0,1,8.0,2,1.0,23.5,1,0,0.33,Medium
19.0,6.0,1.0,3.0,190.0,10.0,1.5,100.0,1,8.0,2,1.0,23.5,1,0,0.47,Medium
9.0,9.0,1.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,1.0,23.5,0,0,0.17,Low
15.0,6.0,3.0,3.0,150.0,10.0,1.5,100.0,1,8.0,2,1.0,23.5,1,0,0.36,Medium
19.0,6.0,3.0,3.0,190.0,10.0,1.5,100.0,1,8.0,2,1.0,23.5,1,0,0.89,High
9.0,9.0,3.0,3.0,90.0,10.0,1.5,100.0,1,8.0,2,1.0,23.5,0,0,0.68,Medium
12.0,6.0,1.0,1.0,120.0,10.0,2.0,100.0,1,10.0,0,1.0,23.1,1,0,0.5,Medium
12.0,6.0,2.0,2.0,120.0,10.0,2.0,100.0,1,10.0,0,1.0,22.8,1,0,0.59,Medium
9.0,3.0,1.0,1.0,99.0,11.0,3.0,0.0,0,6.0,2,1.0,20.1,1,0,0.31,Medium
18.0,6.0,2.0,2.0,198.0,11.0,3.0,0.0,0,6.0,2,1.0,19.5,1,0,0.58,Medium
27.0,9.0,2.0,2.0,297.0,11.0,3.0,0.0,0,6.0,2,1.0,20.5,1,0,0.38,Medium
