number,first.author,year,design,upper.lower,age,sex.male,train.status,body.mass,years.exp,sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure.nonfailure.mixed.direct,weeks,nutrition.controlled.surplus?,nutrition.controlled.deficit?,pre.mean,post.mean,pre.sd,post.sd,n,measure,outcome,hedges_g,volume_category,failure_binary,nutrition_category,train_status_enc,upper_body,hyp_class
5,Starkey,1996,between,lower,34.9,47.0,untrained,69.2,3.5,9.0,9.0,3.0,3.0,37.08,11.4,2.0,100.0,failure,14.0,No,No,58.9,61.3,7.0,6.8,17,60% Posterior Thigh MT,Hypertrophy,0.3396,Moderate,1,None,0,0,Medium
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,failure,14.0,No,No,37.9,36.6,5.9,7.8,8,MED MT,Hypertrophy,-0.1777,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,failure,14.0,No,No,39.4,39.3,6.8,6.8,8,LATER MT,Hypertrophy,-0.0139,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,failure,14.0,No,No,57.1,57.0,7.4,6.7,8,20% Anterior Thigh MT,Hypertrophy,-0.0134,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,failure,14.0,No,No,49.3,48.5,8.7,8.6,8,40% Anterior Thigh MT,Hypertrophy,-0.0874,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,failure,14.0,No,No,35.8,36.2,5.7,6.3,8,60% Anterior Thigh MT,Hypertrophy,0.063,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,failure,14.0,No,No,25.6,25.6,4.9,5.1,8,20% Lateral Thigh MT,Hypertrophy,0.0,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,failure,14.0,No,No,34.7,35.3,5.2,4.8,8,40% Lateral Thigh MT,Hypertrophy,0.1134,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.6,2.0,100.0,failure,14.0,No,No,33.3,33.6,4.1,3.7,8,60% Lateral Thigh MT,Hypertrophy,0.0726,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.88,2.0,100.0,failure,14.0,No,No,56.2,56.3,5.7,4.9,8,40% Posterior Thigh MT,Hypertrophy,0.0178,Low,1,None,0,0,Low
5,Starkey,1996,between,lower,45.4,40.0,untrained,67.9,3.5,0.0,0.0,0.0,0.0,0.0,11.88,2.0,100.0,failure,14.0,No,No,59.6,59.3,5.4,4.2,8,60% Posterior Thigh MT,Hypertrophy,-0.0586,Low,1,None,0,0,Low
9,Evangelista,2021,between,upper,26.2,100.0,untrained,69.9,3.5,32.0,16.0,2.0,4.0,320.0,10.0,1.0,100.0,failure,8.0,No,No,31.0,33.9,5.8,5.8,35,Biceps Brachii MT,Hypertrophy,0.4945,High,1,None,0,1,Medium
9,Evangelista,2021,between,upper,26.2,100.0,untrained,69.9,3.5,40.0,16.0,2.0,4.0,400.0,10.0,1.0,100.0,failure,8.0,No,No,22.1,26.3,6.5,7.2,35,Triceps Brachii MT,Hypertrophy,0.6056,High,1,None,0,1,Medium
9,Evangelista,2021,between,lower,26.2,100.0,untrained,69.9,3.5,16.0,16.0,2.0,4.0,160.0,10.0,1.0,100.0,failure,8.0,No,No,19.1,21.5,4.4,4.6,35,Vastus Lateralis MT,Hypertrophy,0.5273,High,1,None,0,0,Medium
9,Evangelista,2021,between,lower,26.2,100.0,untrained,69.9,3.5,16.0,0.0,0.0,4.0,160.0,10.0,1.0,100.0,failure,8.0,No,No,17.7,19.8,4.1,4.1,35,Rectus Femoris MT,Hypertrophy,0.5065,High,1,None,0,0,Medium
9,Evangelista,2021,between,upper,27.5,100.0,untrained,72.5,3.5,32.0,16.0,4.0,4.0,320.0,10.0,1.0,100.0,failure,8.0,No,No,31.6,35.1,7.0,6.9,32,Biceps Brachii MT,Hypertrophy,0.4975,High,1,None,0,1,Medium
9,Evangelista,2021,between,upper,27.5,100.0,untrained,72.5,3.5,48.0,16.0,4.0,4.0,480.0,10.0,1.0,100.0,failure,8.0,No,No,23.9,27.4,8.3,8.3,32,Triceps Brachii MT,Hypertrophy,0.4166,High,1,None,0,1,Medium
9,Evangelista,2021,between,lower,27.5,100.0,untrained,72.5,3.5,16.0,16.0,4.0,4.0,160.0,10.0,1.0,100.0,failure,8.0,No,No,20.1,22.5,3.6,4.0,32,Vastus Lateralis MT,Hypertrophy,0.623,High,1,None,0,0,Medium
9,Evangelista,2021,between,lower,27.5,100.0,untrained,72.5,3.5,16.0,0.0,0.0,4.0,160.0,10.0,1.0,100.0,failure,8.0,No,No,17.9,20.1,3.7,3.7,32,Rectus Femoris MT,Hypertrophy,0.5874,High,1,None,0,0,Medium
12,Neves,2022,within,lower,26.0,100.0,trained,85.8,6.2,9.0,9.0,1.0,1.0,89.64000000000001,9.96,2.0,100.0,failure,9.0,No,No,100.4,101.8,16.4,16.4,12,Quad CSA,Hypertrophy,0.0824,Moderate,1,None,2,0,Low
12,Neves,2022,within,lower,26.0,100.0,trained,85.8,6.2,9.0,9.0,3.0,3.0,89.73,9.97,2.0,100.0,failure,9.0,No,No,100.9,104.8,18.7,17.9,12,Quad CSA,Hypertrophy,0.2057,Moderate,1,None,2,0,Medium
