sets.week.all,sets.week.direct,frequency.direct,sessions.per.week,reps.week.all,rep.range.all,interset.rest.min.all,percentage.failure.all,failure_binary,weeks,train_status_enc,sex.male,age,nutrition_category,upper_body,volume_category,hedges_g,hyp_class
12.0,12.0,2.0,2.0,123.0,10.25,2.0,33.33,0,8.0,2,100.0,21.5,None,0,Moderate,0.3407,Medium
18.0,18.0,2.0,2.0,184.5,10.25,2.0,22.22,0,8.0,2,100.0,20.7,None,0,High,0.3652,Medium
18.0,18.0,2.0,2.0,184.5,10.25,2.0,22.22,0,8.0,2,100.0,20.7,None,0,High,0.2751,Medium
24.0,24.0,2.0,2.0,246.0,10.25,2.0,16.67,0,8.0,2,100.0,23.5,None,0,High,0.1889,Low
24.0,24.0,2.0,2.0,246.0,10.25,2.0,16.67,0,8.0,2,100.0,23.5,None,0,High,0.6183,Medium
4.0,4.0,2.0,4.0,40.0,10.0,2.0,100.0,1,6.0,2,100.0,21.0,None,0,Low,0.1286,Low
16.0,8.0,2.0,4.0,160.0,10.0,2.0,100.0,1,6.0,2,100.0,21.0,None,1,High,0.1321,Low
20.0,8.0,2.0,4.0,200.0,10.0,2.0,100.0,1,6.0,2,100.0,21.0,None,1,High,0.138,Low
4.0,4.0,1.0,2.0,40.0,10.0,2.0,100.0,1,6.0,2,100.0,28.0,None,0,Low,0.162,Low
16.0,8.0,1.0,2.0,160.0,10.0,2.0,100.0,1,6.0,2,100.0,28.0,None,1,High,0.244,Medium
20.0,8.0,1.0,2.0,200.0,10.0,2.0,100.0,1,6.0,2,100.0,28.0,None,1,High,0.1801,Low
2.0,2.0,2.0,2.0,19.2,9.6,2.0,0.0,0,12.0,0,100.0,25.0,None,1,Low,0.307,Medium
6.0,6.0,2.0,2.0,52.2,8.7,2.0,0.0,0,12.0,0,100.0,25.0,None,1,Low,0.6864,Medium
2.0,2.0,2.0,2.0,20.0,10.0,2.33,100.0,1,12.0,0,100.0,22.2,None,1,Low,0.5094,Medium
6.0,6.0,2.0,2.0,60.0,10.0,2.33,100.0,1,12.0,0,100.0,22.2,None,0,Low,0.1232,Low
6.0,6.0,2.0,2.0,60.0,10.0,2.33,100.0,1,12.0,0,100.0,23.4,None,1,Low,0.4256,Medium
2.0,2.0,2.0,2.0,20.0,10.0,2.33,100.0,1,12.0,0,100.0,23.4,None,0,Low,-0.1909,Low
3.0,1.0,1.0,4.0,28.8,9.6,3.0,100.0,1,10.0,2,100.0,23.2,None,0,Low,0.2602,Medium
3.0,1.0,1.0,4.0,28.8,9.6,3.0,100.0,1,10.0,2,100.0,23.2,None,0,Low,0.2456,Medium
7.0,3.0,1.0,4.0,67.2,9.6,3.0,100.0,1,10.0,2,100.0,23.2,None,1,Moderate,0.2694,Medium
6.0,2.0,1.0,4.0,57.6,9.6,3.0,100.0,1,10.0,2,100.0,23.7,None,0,Low,0.2188,Medium
6.0,2.0,1.0,4.0,57.6,9.6,3.0,100.0,1,10.0,2,100.0,23.7,None,0,Low,0.1223,Low
14.0,6.0,1.0,4.0,134.4,9.6,3.0,100.0,1,10.0,2,100.0,23.7,None,1,Moderate,0.4207,Medium
12.0,4.0,1.0,4.0,115.2,9.6,3.0,100.0,1,10.0,2,100.0,22.9,None,0,Moderate,0.6237,Medium
12.0,4.0,1.0,4.0,115.2,9.6,3.0,100.0,1,10.0,2,100.0,22.9,None,0,Moderate,0.5793,Medium
28.0,12.0,1.0,4.0,268.8,9.6,3.0,100.0,1,10.0,2,100.0,22.9,None,1,High,0.5387,Medium
6.0,6.0,1.0,1.0,72.0,12.0,2.0,0.0,0,11.0,0,100.0,22.3,None,0,Low,1.3007,High
6.0,6.0,1.0,1.0,72.0,12.0,2.0,0.0,0,11.0,0,100.0,22.3,None,0,Low,1.4163,High
6.0,6.0,1.0,1.0,72.0,12.0,2.0,0.0,0,11.0,0,100.0,22.3,None,0,Low,1.0078,High
6.0,6.0,1.0,1.0,72.0,12.0,2.0,0.0,0,11.0,0,100.0,22.3,None,0,Low,0.8043,High
6.0,6.0,3.0,3.0,72.0,12.0,2.0,0.0,0,11.0,0,100.0,22.3,None,0,Low,0.7462,Medium
6.0,6.0,3.0,3.0,72.0,12.0,2.0,0.0,0,11.0,0,100.0,22.3,None,0,Low,1.4645,High
6.0,6.0,3.0,3.0,72.0,12.0,2.0,0.0,0,11.0,0,100.0,22.3,None,0,Low,0.6121,Medium
6.0,6.0,3.0,3.0,72.0,12.0,2.0,0.0,0,11.0,0,100.0,22.3,None,0,Low,0.4668,Medium
12.0,6.0,2.0,4.0,120.0,10.0,4.094,0.0,0,6.0,2,100.0,27.42,Deficit,0,Moderate,-0.0032,Low
12.0,6.0,2.0,4.0,120.0,10.0,4.094,0.0,0,6.0,2,100.0,27.42,Deficit,0,Moderate,0.0357,Low
20.0,10.0,2.0,4.0,200.0,10.0,4.1105,0.0,0,6.0,2,100.0,25.58,Deficit,0,High,0.1161,Low
20.0,10.0,2.0,4.0,200.0,10.0,4.1105,0.0,0,6.0,2,100.0,25.58,Deficit,0,High,-0.0935,Low
5.166666667,5.166666667,2.583,2.583,39.83333333,7.709677419,2.25,80.63935484,0,12.0,0,47.06,22.8,None,0,Low,0.1858,Low
15.5,15.5,2.583,2.583,119.5,7.709677419,2.25,80.63935484,0,12.0,0,47.06,22.8,None,0,High,0.2525,Medium
21.14142857,21.14142857,2.0,2.0,190.2728571,9.0,2.0,33.33,0,14.0,2,100.0,24.2,None,0,High,0.1803,Low
21.14142857,21.14142857,2.0,2.0,190.2728571,9.0,2.0,33.33,0,14.0,2,100.0,24.2,None,0,High,0.1871,Low
29.71285714,29.71285714,2.0,2.0,267.4157143,9.0,2.0,33.33,0,14.0,2,100.0,25.1,None,0,High,0.3598,Medium
29.71285714,29.71285714,2.0,2.0,267.4157143,9.0,2.0,33.33,0,14.0,2,100.0,25.1,None,0,High,0.3262,Medium
33.57,33.57,2.0,2.0,302.13,9.0,2.0,33.33,0,14.0,2,100.0,24.0,None,0,High,0.668,Medium
33.57,33.57,2.0,2.0,302.13,9.0,2.0,33.33,0,14.0,2,100.0,24.0,None,0,High,0.7152,Medium
6.947368,6.947368,2.0,2.0,85.59157376,12.32,2.0,100.0,1,10.0,0,54.54,21.9,None,0,Moderate,0.2565,Medium
6.947368,6.947368,2.0,2.0,144.08841231999997,20.74,2.0,100.0,1,10.0,0,54.54,21.9,None,0,Moderate,0.4128,Medium
6.947368,6.947368,2.0,2.0,104.00209896,14.97,2.0,100.0,1,10.0,0,54.54,21.9,None,1,Moderate,0.2068,Medium
6.947368,6.947368,2.0,2.0,119.98104536,17.27,2.0,100.0,1,10.0,0,54.54,21.9,None,1,Moderate,0.4807,Medium
6.947368,6.947368,2.0,2.0,85.59157376,12.32,2.0,100.0,1,10.0,0,54.54,21.9,None,0,Moderate,0.0996,Low
6.947368,6.947368,2.0,2.0,85.59157376,12.32,2.0,100.0,1,10.0,0,54.54,21.9,None,0,Moderate,0.2753,Medium
10.5,10.5,3.0,3.0,135.87,12.94,2.0,100.0,1,10.0,0,50.0,22.3,None,0,Moderate,0.3409,Medium
10.5,10.5,3.0,3.0,227.43,21.66,2.0,100.0,1,10.0,0,50.0,22.3,None,0,Moderate,0.4945,Medium
10.5,10.5,3.0,3.0,164.535,15.67,2.0,100.0,1,10.0,0,50.0,22.3,None,1,Moderate,0.2779,Medium
10.5,10.5,3.0,3.0,191.835,18.27,2.0,100.0,1,10.0,0,50.0,22.3,None,1,Moderate,0.5929,Medium
10.5,10.5,3.0,3.0,135.87,12.94,2.0,100.0,1,10.0,0,50.0,22.3,None,0,Moderate,0.0113,Low
10.5,10.5,3.0,3.0,135.87,12.94,2.0,100.0,1,10.0,0,50.0,22.3,None,0,Moderate,0.0372,Low
13.5,13.5,1.0,1.0,118.5,8.778,2.778,0.0,0,8.0,2,27.27,21.6,None,0,Moderate,0.9669,High
13.5,13.5,3.0,4.0,118.5,8.778,2.778,0.0,0,8.0,2,36.36,21.5,None,0,Moderate,0.491,Medium
